track_id,track_name,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
5MMnwYs0hIxkENRsbkWJ2G,Smoke On The Water - Remastered 2012,0.598,0.676,114.169,-9.211,0.805,0.0279,0.225,0.112,0.13
7FQSAiopqWOgCGqUNbDvh3,Paranoid,0.429,0.631,162.734,-11.514,0.376,0.0769,0.00411,0.175,7.85e-05
1BIDHSkkst8nckyBaHVP6A,Águas De Março,0.637,0.551,143.104,-9.31,0.468,0.116,0.0,0.111,0.844
1A4WjuUXeFEVXjwgc7eVZ6,Good People,0.721,0.586,176.105,-5.999,0.918,0.034,2.21e-05,0.0902,0.204
3OeUlriM0EZHdWleJtjoVr,Got My Mind Set On You - 2004 Mix,0.767,0.854,149.206,-6.947,0.963,0.0426,2.03e-06,0.485,0.465
2aksifNn5ph8igDOkPBA02,Love On The Brain,0.509,0.637,172.006,-4.83,0.378,0.0471,1.08e-05,0.0789,0.0717
0p20xyAdYkaxAPWdXr0sir,I Love Rock 'n' Roll,0.762,0.482,94.009,-4.35,0.684,0.0734,3.26e-06,0.0802,0.0725
0INtjcLMDnXjNB2YGe6RBT,Kung Fu Fighting (Single Version),0.623,0.705,110.064,-7.4,0.49,0.0832,0.0,0.0732,0.165
4uYwlMp841PLJmj1gJJwIq,"Lay, Lady, Lay",0.52,0.179,155.746,-21.976,0.407,0.0454,0.00344,0.131,0.356
300RfAPZ57B0y6YYj9n6DN,Superstition - Single Version,0.642,0.735,99.682,-8.866,0.864,0.0806,0.000733,0.0391,0.0172
3M5eeHXgG4VplKNcsBC8Dj,"Signed, Sealed, Delivered (I'm Yours)",0.67,0.619,108.826,-10.365,0.807,0.0323,0.0,0.0492,0.0514
5eSllZgRWCIJsDTAqFRwQw,Coffee and TV,0.743,0.743,121.604,-10.117,0.707,0.0367,0.233,0.0987,0.0511
7kXmJwrZGIhDaLT9sNo3ut,Hey Boy Hey Girl,0.632,0.92,127.001,-4.976,0.363,0.0531,0.508,0.114,0.119
2cNjgoSh1TBHFQIhfzRJUE,Go,0.751,0.897,119.97,-3.598,0.482,0.0468,2.88e-05,0.329,0.00957
2wPFy7SAFnt9Nj2TipWcqb,Block Rockin' Beats,0.606,0.977,109.41,-3.642,0.809,0.06,0.5,0.179,0.0206
1Ng1cdcIdXqt3ouDhpw477,Sunshine Reggae - 2008 Remaster,0.734,0.708,167.499,-6.926,0.893,0.0456,0.125,0.0797,0.16
2FYE5aTxHX5lMJZ8HKmiQn,Dona Cila,0.635,0.248,88.074,-10.582,0.286,0.0305,9.35e-05,0.119,0.671
3BEZCNZSmVv30vsMNSOCri,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",0.558,0.524,93.654,-11.626,0.636,0.0459,0.000952,0.94,0.321
6Nabz5Gsy80XL0MJoOmgF8,Beds Are Burning - Remastered,0.754,0.496,119.186,-8.7,0.341,0.0351,0.000152,0.0871,0.00539
78gWMNi0b8lgSgVe0U0AMX,House of Fun - 2000 Remastered Version,0.725,0.934,127.39,-4.684,0.985,0.0288,0.00116,0.169,0.465
6ZKlm17z22OxkzgemE4aos,Addicted To Love,0.703,0.579,111.583,-12.786,0.973,0.0308,7.07e-06,0.117,0.37
189ORFltyfCNtP4CCJou8L,Moving On Up,0.851,0.851,125.057,-6.967,0.897,0.0334,0.13,0.16,0.0212
3SBypTHvrB7Dc7Jai9FmI1,Cérebro Eletrônico,0.414,0.815,122.805,-8.274,0.926,0.119,0.0,0.472,0.351
4tb7A6O8cE2UzELRTwU3KZ,Só Tinha De Ser Com Você,0.807,0.476,119.729,-11.606,0.46,0.0472,0.394,0.148,0.695
371VkfwKiXJxgH5ZPoQNHD,The Joker,0.596,0.448,83.293,-9.616,0.796,0.0396,5.3e-06,0.206,0.365
5N4Hl2Gv1UDpEHu3nMRQFB,Friction,0.673,0.719,150.129,-5.983,0.428,0.0934,0.00384,0.123,0.0111
3PkfVwSOVxP0ffvdQAWJUN,You Had Me,0.694,0.827,102.025,-5.172,0.703,0.198,0.0,0.23,0.136
